,Thema1,Thema2,Thema3,Thema4
store,0.07707992746998846,-0.0012312671794812058,-0.0024514880037888763,-0.004899495707494084
strap,0.053126789262935556,-0.14729091901948213,-0.10492539315810201,-0.0027291178839394248
style,0.04393732097378943,0.003951839672680956,-0.03277438291752979,0.010187295954599374
support,0.024563090972465413,-0.040803315520250745,-0.027303012899293936,0.025077232042194204
sure,0.03288994956992155,-0.011251111268350197,0.029453896209387306,-0.015155024489876951
take,0.03249088323763697,-0.01252565286546183,-0.013255426619464493,-0.0018716895233293605
tell,0.021836386198788454,-0.011304300778575764,0.009384126303389816,-0.002581946730137286
theyre,0.04473928738423327,-0.05189618166995715,-0.011273891981959638,-0.01548753196551132
think,0.042453308867344976,-0.04899149378473627,-0.0033758339077241835,0.006022731616580297
though,0.028875722759192327,-0.0037142073091133107,0.010599027048435317,-0.004851248234981157
tight,0.02353117417150585,-0.009262160733717698,-0.02054779543811941,0.0014362755059420008
time,0.05183651933841512,-0.05110098699493653,-0.03352449690337597,0.00950035822314928
toe,0.03600528701884801,-0.056664247064064845,-0.0352952930249229,0.016327659521565424
true,0.04371363839207104,0.07045129542308001,0.006157786870217066,0.001378477495514215
try,0.07278712849560716,-0.023414874435281043,-0.02329201967220759,0.04443371579995834
two,0.03115687381903359,-0.01991772444335661,-0.03152108429057475,-0.008824951254945928
uncomfortable,0.03693797174725366,-0.06449483471546301,-0.0240175037049802,0.04071033978297518
use,0.04646791757993182,-0.050142132590251604,-0.04439897265913075,-0.0050250897879316105
vietnam,0.0251899344806124,-0.011527697901284693,-0.032154654324438744,-0.025888891747630895
wait,0.021470628180644262,-0.01281025231048916,0.018020024075752303,0.00130017839176488
walk,0.027286986403617017,-0.05672661621528425,-0.039266497852739266,0.00046996895982033896
want,0.04315286380328996,-0.06010863052945439,-0.0050287621422182485,-0.014652349778873867
way,0.10399307143432775,0.0358633693512326,0.05547353564537089,0.09266472857791805
wear,0.15990624859862318,-0.14900199890375587,-0.16142258798311124,0.13826088683229798
website,0.03093926322167206,0.0038056381349375196,0.01428319904655354,-0.0195254825361653
week,0.02757707863091076,-0.04985139237955758,-0.020699539634434105,-0.01664550300662641
well,0.03421732142078965,-0.018312646562202488,-0.023364419018862822,-0.002361112894991647
wide,0.09505563789005775,-0.10800617622076235,-0.03846183614006805,0.20232280206697267
width,0.02122348872164548,-0.03179998460104399,-0.04027176420151435,0.024634491702254162
without,0.020090827932697463,-0.030294355008625512,-0.03016519697161768,-0.01279126911083666
woman,0.08575968725005462,0.04644226098398417,0.010325959909756375,0.03622804323817927
work,0.036632228612786304,-0.017064417658923896,-0.03634816316037203,0.03828687193317473
wrong,0.05132751508995764,0.04179711141911138,0.04288036467375724,-0.0154371790547043
year,0.0768824868901612,-0.0168892826280224,-0.07426001147105074,-0.029279219351191862
zappos,0.03127252166477762,0.0077986472091274755,0.01049585804392529,-0.03404427899277668
